,period,msn,seriesDescription,value,unit
140,2022-01,COEXPUS,Crude Oil Exports in Thousand Barrels per Day,3347.084,Thousand Barrels per Day
141,2022-01,COFMUAQ,Average Free on Board Cost of Crude Oil Imports From Angola in Dollars per Barrel,Not Available,Dollars per Barrel
142,2022-01,COFMUCL,Average Free on Board Cost of Crude Oil Imports From Colombia in Dollars per Barrel,Withheld,Dollars per Barrel
143,2022-01,COFMUMX,Average Free on Board Cost of Crude Oil Imports From Mexico in Dollars per Barrel,75.35,Dollars per Barrel
144,2022-01,COFMUNI,Average Free on Board Cost of Crude Oil Imports From Nigeria in Dollars per Barrel,Withheld,Dollars per Barrel
145,2022-01,COFMUNT,Average Free on Board Cost of Crude Oil Imports From All Non-OPEC Countries in Dollars per Barrel,70.67,Dollars per Barrel
146,2022-01,COFMUOP,Average Free on Board Cost of Crude Oil Imports From All OPEC Countries in Dollars per Barrel,88.47,Dollars per Barrel
147,2022-01,COFMUPG,Average Free on Board Cost of Crude Oil Imports From Persian Gulf Nations in Dollars per Barrel,88.59,Dollars per Barrel
148,2022-01,COFMUSA,Average Free on Board Cost of Crude Oil Imports From Saudi Arabia in Dollars per Barrel,93.17,Dollars per Barrel
149,2022-01,COFMUUK,Average Free on Board Cost of Crude Oil Imports From United Kingdom in Dollars per Barrel,Not Available,Dollars per Barrel
150,2022-01,COFMUUS,Average Free on Board Cost of Crude Oil Imports in Dollars per Barrel,72.91,Dollars per Barrel
151,2022-01,COFMUVE,Average Free on Board Cost of Crude Oil Imports From Venezuela in Dollars per Barrel,Not Available,Dollars per Barrel
152,2022-01,COIMBUS,Crude Oil Imports in Quadrillion Btu,1200.495,Quadrillion Btu
153,2022-01,COIMPUS,"Crude Oil Imports, Total in Thousand Barrels per Day",6383,Thousand Barrels per Day
154,2022-01,COIMUAQ,Average Landed Cost of Crude Oil Imports From Angola in Dollars per Barrel,Not Available,Dollars per Barrel
155,2022-01,COIMUCL,Average Landed Cost of Crude Oil Imports From Colombia in Dollars per Barrel,80.05,Dollars per Barrel
156,2022-01,COIMUCN,Average Landed Cost of Crude Oil Imports From Canada in Dollars per Barrel,70.59,Dollars per Barrel
157,2022-01,COIMUMX,Average Landed Cost of Crude Oil Imports From Mexico in Dollars per Barrel,76.61,Dollars per Barrel
158,2022-01,COIMUNI,Average Landed Cost of Crude Oil Imports From Nigeria in Dollars per Barrel,Withheld,Dollars per Barrel
159,2022-01,COIMUNT,Average Landed Cost of Crude Oil Imports From All Non-OPEC Countries in Dollars per Barrel,73.64,Dollars per Barrel
160,2022-01,COIMUOP,Average Landed Cost of Crude Oil Imports From All OPEC Countries in Dollars per Barrel,90.76,Dollars per Barrel
161,2022-01,COIMUPG,Average Landed Cost of Crude Oil Imports From Persian Gulf Nations in Dollars per Barrel,91.69,Dollars per Barrel
162,2022-01,COIMUSA,Average Landed Cost of Crude Oil Imports From Saudi Arabia in Dollars per Barrel,99.72,Dollars per Barrel
163,2022-01,COIMUUK,Average Landed Cost of Crude Oil Imports From United Kingdom in Dollars per Barrel,Not Available,Dollars per Barrel
164,2022-01,COIMUUS,Average Landed Cost of Crude Oil Imports in Dollars per Barrel,76.46,Dollars per Barrel
165,2022-01,COIMUVE,Average Landed Cost of Crude Oil Imports From Venezuela in Dollars per Barrel,Not Available,Dollars per Barrel
166,2022-01,CONIBUS,Crude Oil Net Imports in Quadrillion Btu,0.606472,Quadrillion Btu
167,2022-01,COPSPUS,"Crude Oil Stocks, Total, End of Period in Million Barrels",1002.59,Million Barrels
168,2022-01,COQIPUS,"Crude Oil Imports, Strategic Petroleum Reserve in Thousand Barrels per Day",No Data Reported,Thousand Barrels per Day
169,2022-01,CORIPUS,Crude Oil Refinery and Blender Net Input in Thousand Barrels per Day,15451,Thousand Barrels per Day
170,2022-01,COSQPUS,"Crude Oil Stocks, Strategic Petroleum Reserve, End of Period in Million Barrels",588.317,Million Barrels
171,2022-01,COSXPUS,"Crude Oil Stocks, Non-Strategic Petroleum Reserve, End of Period in Million Barrels",414.273,Million Barrels
172,2022-01,CPUCIUS,Consumer Price Index (Urban) in Index 1982-1984 = 100,281.148,Index 1982-1984 = 100
173,2022-01,D2RCAUS,Average Cost of Residential Heating Oil in Dollars per Million Btu,Not Available,Dollars per Million Btu
174,2022-01,D2RCOUS,Average Cost of Residential Heating Oil in Dollars per Gallon,Not Available,Dollars per Gallon
175,2022-01,D2TCUUS,Average Refiner Price of No. 2 Fuel Oil to End Users in Dollars per Gallon Excluding Taxes,3.169,Dollars per Gallon Excluding Taxes
176,2022-01,D2WHUUS,Average Refiner Price of No. 2 Fuel Oil for Resale in Dollars per Gallon Excluding Taxes,2.438,Dollars per Gallon Excluding Taxes
177,2022-01,DFACBUS,Distillate Fuel Oil Consumed by the Transportation Sector in Trillion Btu,490.823,Trillion Btu
178,2022-01,DFACPUS,Distillate Fuel Oil Consumed by the Transportation Sector in Thousand Barrels per Day,2747.257,Thousand Barrels per Day
179,2022-01,DFCCBUS,Distillate Fuel Oil Consumed by the Commercial Sector in Trillion Btu,45.189,Trillion Btu
180,2022-01,DFCCEUS,Distillate Fuel Oil Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,3.35,Million Metric Tons of Carbon Dioxide
181,2022-01,DFCCPUS,Distillate Fuel Oil Consumed by the Commercial Sector in Thousand Barrels per Day,252.635,Thousand Barrels per Day
182,2022-01,DFEKPUS,"Distillate Fuel Oil Stocks, Electric Power Sector, End of Period in Thousand Barrels",17457.265,Thousand Barrels
183,2022-01,DFEXPUS,Distillate Fuel Oil Exports in Thousand Barrels per Day,964.59,Thousand Barrels per Day
184,2022-01,DFICBUS,Distillate Fuel Oil Consumed by the Industrial Sector in Trillion Btu,111.522,Trillion Btu
185,2022-01,DFICEUS,Distillate Fuel Oil Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,8.249,Million Metric Tons of Carbon Dioxide
186,2022-01,DFICPUS,Distillate Fuel Oil Consumed by the Industrial Sector in Thousand Barrels per Day,623.482,Thousand Barrels per Day
187,2022-01,DFIMPUS,Distillate Fuel Oil Imports in Thousand Barrels per Day,241.806,Thousand Barrels per Day
188,2022-01,DFONUUS,On-Highway Diesel Fuel Average Price in Dollars per Gallon Including Taxes,3.724,Dollars per Gallon Including Taxes
189,2022-01,DFPSPUS,"Distillate Fuel Oil Stocks, End of Period in Million Barrels",124.989,Million Barrels
190,2022-01,DFRCBUS,Distillate Fuel Oil Consumed by the Residential Sector in Trillion Btu,66.782,Trillion Btu
191,2022-01,DFRCEUS,Distillate Fuel Oil Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,4.951,Million Metric Tons of Carbon Dioxide
192,2022-01,DFRCPUS,Distillate Fuel Oil Consumed by the Residential Sector in Thousand Barrels per Day,373.358,Thousand Barrels per Day
193,2022-01,DFROPUS,Distillate Fuel Oil Refinery and Blender Net Production in Thousand Barrels per Day,4644.032,Thousand Barrels per Day
194,2022-01,DFTCBUS,Distillate Fuel Oil Product Supplied in Trillion Btu,729.309,Trillion Btu
195,2022-01,DFTCPUS,Distillate Fuel Oil Product Supplied in Thousand Barrels per Day,4080.547,Thousand Barrels per Day
196,2022-01,DHTWPUS,"Wells Drilled, Dry in Number",110,Number
197,2022-01,DKECPUS,"Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Thousand Barrels",2762.025,Thousand Barrels
198,2022-01,DKEIBUS,Distillate Fuel Oil Consumed by the Electric Power Sector in Trillion Btu,14.992,Trillion Btu
199,2022-01,DKEIEUS,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",1.112,Million Metric Tons of Carbon Dioxide
200,2022-01,DKEIPUS,"Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Thousand Barrels",2598.295,Thousand Barrels
201,2022-01,DKEIZUS,Distillate Fuel Oil Consumed by the Electric Power Sector in Thousand Barrels per Day,83.816,Thousand Barrels per Day
202,2022-01,DKEPPUS,"Distillate Fuel Oil Consumption for Electricity Generation, All Sectors in Thousand Barrels",2605.299,Thousand Barrels
203,2022-01,DKERDUS,"Average Cost of Distillate Fuel Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",19.99,"Dollars per Million Btu, Including Taxes"
204,2022-01,DKL1PUS,"Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector in Thousand Barrels",2561.78,Thousand Barrels
205,2022-01,DMACEUS,"Distillate Fuel Oil, Excluding Biodiesel, Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide",35.777,Million Metric Tons of Carbon Dioxide
206,2022-01,DMTCEUS,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions in Million Metric Tons of Carbon Dioxide",53.439,Million Metric Tons of Carbon Dioxide
207,2022-01,DSTCUUS,Average Refiner Price of No. 2 Diesel Fuel to End Users in Dollars per Gallon Excluding Taxes,2.648,Dollars per Gallon Excluding Taxes
208,2022-01,DSWHUUS,Average Refiner Price of No. 2 Diesel Fuel for Resale in Dollars per Gallon Excluding Taxes,2.55,Dollars per Gallon Excluding Taxes
209,2022-01,ELC5PUS,"Electricity Net Generation Total (including from sources not shown), Commercial Sector in Million Kilowatthours",1145.378,Million Kilowatthours
210,2022-01,ELC9PUS,"Total Commercial Sector, Net Summer Capacity in Million Kilowatts",4.779,Million Kilowatts
211,2022-01,ELDUPUS,Electricity Direct Use in Million Kilowatthours,12580.514,Million Kilowatthours
212,2022-01,ELEGPUS,"Electricity Net Generation Total (including from sources not shown), Electric Power Sector in Million Kilowatthours",363659.369,Million Kilowatthours
213,2022-01,ELETPUS,"Electricity Net Generation Total (including from sources not shown), All Sectors in Million Kilowatthours",377493.245,Million Kilowatthours
214,2022-01,ELEXBUS,Electricity Exports in Quadrillion Btu,4.979,Quadrillion Btu
215,2022-01,ELEXPUS,Electricity Exports in Billion Kilowatthours,1459,Billion Kilowatthours
216,2022-01,ELGBPUS,"Total Electric, Net Summer Capacity in Million Kilowatts",1147.072,Million Kilowatts
217,2022-01,ELI5PUS,"Electricity Net Generation Total (including from sources not shown), Industrial Sector in Million Kilowatthours",12688.498,Million Kilowatthours
218,2022-01,ELI9PUS,"Total Industrial Sector, Net Summer Capacity in Million Kilowatts",26.771,Million Kilowatts
219,2022-01,ELIMBUS,Electricity Imports in Quadrillion Btu,15.208,Quadrillion Btu
220,2022-01,ELIMPUS,Electricity Imports in Billion Kilowatthours,4457,Billion Kilowatthours
221,2022-01,ELL9PUS,"Total Electric Power Sector, Net Summer Capacity in Million Kilowatts",1115.523,Million Kilowatts
222,2022-01,ELNIBUS,Electric Power Sector Electricity Net Imports in Trillion Btu,10.229,Trillion Btu
223,2022-01,ELNIPUS,Electricity Net Imports in Billion Kilowatthours,2998,Billion Kilowatthours
224,2022-01,ELTCPUS,"Electricity End Use, Total in Million Kilowatthours",349814.828,Million Kilowatthours
225,2022-01,ELUNPUS,Transmission and Distribution Losses and Unaccounted for in Billion Kilowatthours,30676,Billion Kilowatthours
226,2022-01,EMACBUS,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector in Trillion Btu",85.627,Trillion Btu
227,2022-01,EMCCBUS,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector in Trillion Btu",2.232,Trillion Btu
228,2022-01,EMFDBUS,"Fuel Ethanol, Excluding Denaturant, Feedstock in Trillion Btu",182.597,Trillion Btu
229,2022-01,EMICBUS,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector in Trillion Btu",1.618,Trillion Btu
